x,y,headinng,sonar_ang,read,expected
34.0,114.0,180.0,90.0,12.0,83.0
34.0,114.0,180.0,88.0,255.0,82.09498596191406
34.0,114.0,180.0,86.0,255.0,81.30747985839844
34.0,114.0,180.0,84.0,255.0,80.63224792480469
34.0,114.0,180.0,82.0,255.0,80.06488800048828
34.0,114.0,180.0,80.0,255.0,79.60176086425781
34.0,114.0,180.0,78.0,247.0,79.23994445800781
34.0,114.0,180.0,76.0,246.0,78.97718048095703
34.0,114.0,180.0,74.0,247.0,75.88448333740234
34.0,114.0,180.0,72.0,248.0,66.86183166503906
34.0,114.0,180.0,70.0,249.0,59.822078704833984
34.0,114.0,180.0,68.0,255.0,54.1827507019043
34.0,114.0,180.0,66.0,255.0,49.570804595947266
34.0,114.0,180.0,64.0,255.0,45.73395919799805
34.0,114.0,180.0,62.0,255.0,42.495731353759766
34.0,114.0,180.0,60.0,255.0,39.73164749145508
34.0,114.0,180.0,58.0,255.0,37.34735107421875
34.0,114.0,180.0,56.0,255.0,35.27406692504883
34.0,114.0,180.0,54.0,255.0,33.45663833618164
34.0,114.0,180.0,52.0,255.0,31.854570388793945
34.0,114.0,180.0,50.0,255.0,30.434833526611328
34.0,114.0,180.0,48.0,255.0,29.169734954833984
34.0,114.0,180.0,46.0,25.0,28.038774490356445
34.0,114.0,180.0,44.0,24.0,27.024215698242188
34.0,114.0,180.0,42.0,24.0,26.110641479492188
34.0,114.0,180.0,40.0,24.0,25.28652000427246
34.0,114.0,180.0,38.0,23.0,24.541868209838867
34.0,114.0,180.0,36.0,24.0,23.868244171142578
34.0,114.0,180.0,34.0,24.0,23.25826072692871
34.0,114.0,180.0,32.0,23.0,22.705900192260742
34.0,114.0,180.0,30.0,23.0,22.205245971679688
34.0,114.0,180.0,28.0,23.0,21.751657485961914
34.0,114.0,180.0,26.0,23.0,21.34221076965332
34.0,114.0,180.0,24.0,23.0,20.973237991333008
34.0,114.0,180.0,22.0,16.0,20.641202926635742
34.0,114.0,180.0,20.0,14.0,20.343915939331055
34.0,114.0,180.0,18.0,14.0,20.079322814941406
34.0,114.0,180.0,16.0,13.0,19.84526824951172
34.0,114.0,180.0,14.0,13.0,19.640268325805664
34.0,114.0,180.0,12.0,13.0,19.462900161743164
34.0,114.0,180.0,10.0,12.0,19.312217712402344
34.0,114.0,180.0,8.0,12.0,19.18691635131836
34.0,114.0,180.0,6.0,12.0,19.08623695373535
34.0,114.0,180.0,4.0,12.0,19.009754180908203
34.0,114.0,180.0,2.0,12.0,18.95686149597168
34.0,114.0,180.0,-0.0,12.0,Infinity
34.0,114.0,180.0,-2.0,11.0,18.920793533325195
34.0,114.0,180.0,-4.0,12.0,18.93738555908203
34.0,114.0,180.0,-6.0,12.0,18.977100372314453
34.0,114.0,180.0,-8.0,11.0,19.040294647216797
34.0,114.0,180.0,-10.0,11.0,19.12725067138672
34.0,114.0,180.0,-12.0,11.0,19.238513946533203
34.0,114.0,180.0,-14.0,11.0,19.37490463256836
34.0,114.0,180.0,-16.0,12.0,19.537250518798828
34.0,114.0,180.0,-18.0,12.0,19.726463317871094
34.0,114.0,180.0,-20.0,12.0,19.944177627563477
34.0,114.0,180.0,-22.0,12.0,20.191131591796875
34.0,114.0,180.0,-24.0,13.0,20.47003746032715
34.0,114.0,180.0,-26.0,13.0,20.78211212158203
34.0,114.0,180.0,-28.0,13.0,21.130029678344727
34.0,114.0,180.0,-30.0,14.0,21.516551971435547
34.0,114.0,180.0,-32.0,15.0,21.94490623474121
34.0,114.0,180.0,-34.0,16.0,22.417827606201172
34.0,114.0,180.0,-36.0,23.0,22.940876007080078
34.0,114.0,180.0,-38.0,23.0,23.518178939819336
34.0,114.0,180.0,-40.0,23.0,24.155214309692383
34.0,114.0,180.0,-42.0,23.0,24.85875129699707
34.0,114.0,180.0,-44.0,23.0,25.637313842773438
34.0,114.0,180.0,-46.0,23.0,26.49857521057129
34.0,114.0,180.0,-48.0,24.0,27.454383850097656
34.0,114.0,180.0,-50.0,24.0,28.518756866455078
34.0,114.0,180.0,-52.0,24.0,29.70604133605957
34.0,114.0,180.0,-54.0,24.0,31.035789489746094
34.0,114.0,180.0,-56.0,24.0,32.532798767089844
34.0,114.0,180.0,-58.0,24.0,34.22332763671875
34.0,114.0,180.0,-60.0,35.0,36.147403717041016
34.0,114.0,180.0,-62.0,34.0,38.34876251220703
34.0,114.0,180.0,-64.0,34.0,37.82846450805664
34.0,114.0,180.0,-66.0,34.0,37.21763229370117
34.0,114.0,180.0,-68.0,34.0,36.67018127441406
34.0,114.0,180.0,-70.0,34.0,36.182044982910156
34.0,114.0,180.0,-72.0,34.0,35.749717712402344
34.0,114.0,180.0,-74.0,35.0,35.370182037353516
34.0,114.0,180.0,-76.0,37.0,35.040863037109375
34.0,114.0,180.0,-78.0,37.0,34.75958251953125
34.0,114.0,180.0,-80.0,35.0,34.524505615234375
34.0,114.0,180.0,-82.0,33.0,34.334136962890625
34.0,114.0,180.0,-84.0,32.0,34.18728256225586
34.0,114.0,180.0,-86.0,32.0,34.08302307128906
34.0,114.0,180.0,-88.0,32.0,34.02072525024414
34.0,114.0,180.0,-90.0,32.0,34.0
