x,y,headinng,sonar_ang,read,expected
5.0,68.0,-90.0,90.0,55.0,20.667823791503906
5.0,68.0,-90.0,88.0,55.0,18.1397762298584
5.0,68.0,-90.0,86.0,55.0,16.180341720581055
5.0,68.0,-90.0,84.0,55.0,14.619023323059082
5.0,68.0,-90.0,82.0,55.0,13.347335815429688
5.0,68.0,-90.0,80.0,55.0,12.292962074279785
5.0,68.0,-90.0,78.0,56.0,11.405858993530273
5.0,68.0,-90.0,76.0,55.0,10.650273323059082
5.0,68.0,-90.0,74.0,56.0,10.000000953674316
5.0,68.0,-90.0,72.0,56.0,9.43539810180664
5.0,68.0,-90.0,70.0,56.0,8.941457748413086
5.0,68.0,-90.0,68.0,56.0,8.506510734558105
5.0,68.0,-90.0,66.0,56.0,8.121342658996582
5.0,68.0,-90.0,64.0,58.0,7.778621196746826
5.0,68.0,-90.0,62.0,58.0,7.472382545471191
5.0,68.0,-90.0,60.0,58.0,7.197782039642334
5.0,68.0,-90.0,58.0,255.0,6.95081901550293
5.0,68.0,-90.0,56.0,60.0,6.7281646728515625
5.0,68.0,-90.0,54.0,255.0,6.527034759521484
5.0,68.0,-90.0,52.0,22.0,6.345089435577393
5.0,68.0,-90.0,50.0,22.0,6.18034029006958
5.0,68.0,-90.0,48.0,22.0,6.031089782714844
5.0,68.0,-90.0,46.0,22.0,5.895890235900879
5.0,68.0,-90.0,44.0,22.0,5.773501396179199
5.0,68.0,-90.0,42.0,21.0,5.6628499031066895
5.0,68.0,-90.0,40.0,21.0,5.563011646270752
5.0,68.0,-90.0,38.0,21.0,5.473181247711182
5.0,68.0,-90.0,36.0,21.0,5.392672061920166
5.0,68.0,-90.0,34.0,21.0,5.320889949798584
5.0,68.0,-90.0,32.0,21.0,5.257310390472412
5.0,68.0,-90.0,30.0,11.0,5.201498031616211
5.0,68.0,-90.0,28.0,10.0,5.153069019317627
5.0,68.0,-90.0,26.0,9.0,5.111702919006348
5.0,68.0,-90.0,24.0,9.0,5.077132225036621
5.0,68.0,-90.0,22.0,9.0,5.049138069152832
5.0,68.0,-90.0,20.0,8.0,5.027541160583496
5.0,68.0,-90.0,18.0,9.0,5.012209415435791
5.0,68.0,-90.0,16.0,8.0,5.003047943115234
5.0,68.0,-90.0,14.0,8.0,5.0
5.0,68.0,-90.0,12.0,8.0,5.0
5.0,68.0,-90.0,10.0,8.0,5.0
5.0,68.0,-90.0,8.0,8.0,5.0
5.0,68.0,-90.0,6.0,8.0,5.0
5.0,68.0,-90.0,4.0,8.0,5.0
5.0,68.0,-90.0,2.0,8.0,5.0
5.0,68.0,-90.0,-0.0,8.0,5.0
5.0,68.0,-90.0,-2.0,8.0,5.0
5.0,68.0,-90.0,-4.0,8.0,5.0
5.0,68.0,-90.0,-6.0,8.0,5.0
5.0,68.0,-90.0,-8.0,8.0,5.0
5.0,68.0,-90.0,-10.0,8.0,5.0
5.0,68.0,-90.0,-12.0,8.0,5.0
5.0,68.0,-90.0,-14.0,8.0,5.0
5.0,68.0,-90.0,-16.0,8.0,5.003047943115234
5.0,68.0,-90.0,-18.0,8.0,5.012209892272949
5.0,68.0,-90.0,-20.0,8.0,5.027541160583496
5.0,68.0,-90.0,-22.0,9.0,5.049138069152832
5.0,68.0,-90.0,-24.0,9.0,5.077133655548096
5.0,68.0,-90.0,-26.0,9.0,5.111702919006348
5.0,68.0,-90.0,-28.0,9.0,5.153069019317627
5.0,68.0,-90.0,-30.0,9.0,5.201496124267578
5.0,68.0,-90.0,-32.0,10.0,5.257312774658203
5.0,68.0,-90.0,-34.0,21.0,5.320887565612793
5.0,68.0,-90.0,-36.0,21.0,5.392674446105957
5.0,68.0,-90.0,-38.0,21.0,5.473181247711182
5.0,68.0,-90.0,-40.0,21.0,5.5630083084106445
5.0,68.0,-90.0,-42.0,21.0,5.6628499031066895
5.0,68.0,-90.0,-44.0,22.0,5.773505687713623
5.0,68.0,-90.0,-46.0,22.0,5.895894527435303
5.0,68.0,-90.0,-48.0,22.0,6.031089782714844
5.0,68.0,-90.0,-50.0,22.0,6.18034029006958
5.0,68.0,-90.0,-52.0,22.0,6.345089435577393
5.0,68.0,-90.0,-54.0,255.0,6.527037143707275
5.0,68.0,-90.0,-56.0,255.0,6.7281622886657715
5.0,68.0,-90.0,-58.0,255.0,6.95081901550293
5.0,68.0,-90.0,-60.0,72.0,7.197782039642334
5.0,68.0,-90.0,-62.0,71.0,7.472382545471191
5.0,68.0,-90.0,-64.0,70.0,7.778618335723877
5.0,68.0,-90.0,-66.0,70.0,8.121349334716797
5.0,68.0,-90.0,-68.0,70.0,8.50650691986084
5.0,68.0,-90.0,-70.0,70.0,8.941460609436035
5.0,68.0,-90.0,-72.0,69.0,9.43540096282959
5.0,68.0,-90.0,-74.0,69.0,9.999998092651367
5.0,68.0,-90.0,-76.0,69.0,10.650269508361816
5.0,68.0,-90.0,-78.0,69.0,11.405862808227539
5.0,68.0,-90.0,-80.0,68.0,12.292969703674316
5.0,68.0,-90.0,-82.0,68.0,13.347335815429688
5.0,68.0,-90.0,-84.0,68.0,14.619023323059082
5.0,68.0,-90.0,-86.0,68.0,16.18033790588379
5.0,68.0,-90.0,-88.0,68.0,18.139772415161133
5.0,68.0,-90.0,-90.0,68.0,20.667823791503906
