x,y,headinng,sonar_ang,read,expected
60.0,68.0,-90.0,90.0,59.0,65.6138687133789
60.0,68.0,-90.0,88.0,59.0,65.6138687133789
60.0,68.0,-90.0,86.0,59.0,65.6138687133789
60.0,68.0,-90.0,84.0,59.0,65.6138687133789
60.0,68.0,-90.0,82.0,59.0,65.6138687133789
60.0,68.0,-90.0,80.0,59.0,65.6138687133789
60.0,68.0,-90.0,78.0,59.0,65.6138687133789
60.0,68.0,-90.0,76.0,59.0,65.6138687133789
60.0,68.0,-90.0,74.0,59.0,65.6138687133789
60.0,68.0,-90.0,72.0,60.0,65.67142486572266
60.0,68.0,-90.0,70.0,59.0,65.80921936035156
60.0,68.0,-90.0,68.0,60.0,66.02833557128906
60.0,68.0,-90.0,66.0,60.0,66.32994079589844
60.0,68.0,-90.0,64.0,60.0,66.71597290039062
60.0,68.0,-90.0,62.0,60.0,67.18883514404297
60.0,68.0,-90.0,60.0,60.0,67.75172424316406
60.0,68.0,-90.0,58.0,61.0,68.4080810546875
60.0,68.0,-90.0,56.0,61.0,69.16218566894531
60.0,68.0,-90.0,54.0,85.0,70.01944732666016
60.0,68.0,-90.0,52.0,255.0,70.9859619140625
60.0,68.0,-90.0,50.0,63.0,72.06830596923828
60.0,68.0,-90.0,48.0,62.0,72.37307739257812
60.0,68.0,-90.0,46.0,64.0,70.75070190429688
60.0,68.0,-90.0,44.0,255.0,69.28203582763672
60.0,68.0,-90.0,42.0,62.0,67.9542007446289
60.0,68.0,-90.0,40.0,255.0,66.75611877441406
60.0,68.0,-90.0,38.0,64.0,65.67817687988281
60.0,68.0,-90.0,36.0,62.0,64.71208190917969
60.0,68.0,-90.0,34.0,64.0,63.85066604614258
60.0,68.0,-90.0,32.0,63.0,63.08773422241211
60.0,68.0,-90.0,30.0,61.0,62.417964935302734
60.0,68.0,-90.0,28.0,63.0,61.83681869506836
60.0,68.0,-90.0,26.0,61.0,61.34043502807617
60.0,68.0,-90.0,24.0,61.0,60.92559814453125
60.0,68.0,-90.0,22.0,60.0,60.58965301513672
60.0,68.0,-90.0,20.0,61.0,60.33049774169922
60.0,68.0,-90.0,18.0,60.0,60.146514892578125
60.0,68.0,-90.0,16.0,60.0,60.03657150268555
60.0,68.0,-90.0,14.0,60.0,60.0
60.0,68.0,-90.0,12.0,60.0,60.0
60.0,68.0,-90.0,10.0,60.0,60.0
60.0,68.0,-90.0,8.0,60.0,60.0
60.0,68.0,-90.0,6.0,60.0,60.0
60.0,68.0,-90.0,4.0,59.0,60.0
60.0,68.0,-90.0,2.0,60.0,60.0
60.0,68.0,-90.0,-0.0,59.0,60.0
60.0,68.0,-90.0,-2.0,60.0,60.0
60.0,68.0,-90.0,-4.0,59.0,60.0
60.0,68.0,-90.0,-6.0,59.0,60.0
60.0,68.0,-90.0,-8.0,59.0,60.0
60.0,68.0,-90.0,-10.0,59.0,60.0
60.0,68.0,-90.0,-12.0,59.0,60.0
60.0,68.0,-90.0,-14.0,59.0,60.0
60.0,68.0,-90.0,-16.0,59.0,60.03657150268555
60.0,68.0,-90.0,-18.0,59.0,60.146514892578125
60.0,68.0,-90.0,-20.0,60.0,60.33049774169922
60.0,68.0,-90.0,-22.0,60.0,60.58965301513672
60.0,68.0,-90.0,-24.0,60.0,60.92559814453125
60.0,68.0,-90.0,-26.0,60.0,61.34043502807617
60.0,68.0,-90.0,-28.0,60.0,61.83681869506836
60.0,68.0,-90.0,-30.0,61.0,62.417964935302734
60.0,68.0,-90.0,-32.0,61.0,63.08773422241211
60.0,68.0,-90.0,-34.0,61.0,63.85066604614258
60.0,68.0,-90.0,-36.0,62.0,64.71208190917969
60.0,68.0,-90.0,-38.0,62.0,65.67817687988281
60.0,68.0,-90.0,-40.0,62.0,66.75611877441406
60.0,68.0,-90.0,-42.0,92.0,67.95420837402344
60.0,68.0,-90.0,-44.0,92.0,69.28203582763672
60.0,68.0,-90.0,-46.0,91.0,70.75070190429688
60.0,68.0,-90.0,-48.0,91.0,72.37307739257812
60.0,68.0,-90.0,-50.0,91.0,74.16407775878906
60.0,68.0,-90.0,-52.0,91.0,74.43526458740234
60.0,68.0,-90.0,-54.0,71.0,73.34036254882812
60.0,68.0,-90.0,-56.0,91.0,72.36408996582031
60.0,68.0,-90.0,-58.0,72.0,71.49942779541016
60.0,68.0,-90.0,-60.0,70.0,70.74036407470703
60.0,68.0,-90.0,-62.0,70.0,70.08172607421875
60.0,68.0,-90.0,-64.0,70.0,69.51915740966797
60.0,68.0,-90.0,-66.0,69.0,69.04901123046875
60.0,68.0,-90.0,-68.0,69.0,68.66827392578125
60.0,68.0,-90.0,-70.0,69.0,68.37456512451172
60.0,68.0,-90.0,-72.0,68.0,68.16604614257812
60.0,68.0,-90.0,-74.0,68.0,68.04145050048828
60.0,68.0,-90.0,-76.0,68.0,68.0
60.0,68.0,-90.0,-78.0,68.0,68.0
60.0,68.0,-90.0,-80.0,67.0,68.0
60.0,68.0,-90.0,-82.0,67.0,68.0
60.0,68.0,-90.0,-84.0,67.0,68.0
60.0,68.0,-90.0,-86.0,67.0,68.0
60.0,68.0,-90.0,-88.0,67.0,68.0
60.0,68.0,-90.0,-90.0,67.0,68.0
